@RELATION PPI

@ATTRIBUTE Protein1 STRING
@ATTRIBUTE Protein2 STRING
@ATTRIBUTE ProteinExpressionSim NUMERIC
@ATTRIBUTE GeneExpressionSim NUMERIC
@ATTRIBUTE DIPSim NUMERIC
@ATTRIBUTE PositiveData {true,false}

@DATA
YAL007C, YLR150W, 0.07, 0.02, 0.00, true
YLR150W, YAL007C, 0.07, 0.02, 0.00, true
YAL007C, YLR342W, 0.48, 0.34, 0.00, true
YLR342W, YAL007C, 0.48, 0.34, 0.00, true
YAL007C, YML012W, 0.21, 0.39, 0.04, true
YML012W, YAL007C, 0.21, 0.39, 0.04, true
YAL007C, YMR214W, 0.21, 0.15, 0.00, true
YMR214W, YAL007C, 0.21, 0.15, 0.00, true
YAL007C, YNL055C, 0.25, -0.13, 0.00, true
YNL055C, YAL007C, 0.25, -0.13, 0.00, true
YAL009W, YDL040C, 0.41, -0.12, 0.00, true
YDL040C, YAL009W, 0.41, -0.12, 0.00, true
YAL009W, YHR004C, 0.33, 0.34, 0.00, true
YHR004C, YAL009W, 0.33, 0.34, 0.00, true
YAL010C, YJL066C, 0.17, 0.47, 0.00, true
YJL066C, YAL010C, 0.17, 0.47, 0.00, true
YAL010C, YLL006W, 0.34, 0.20, 0.00, true
YLL006W, YAL010C, 0.34, 0.20, 0.00, true
YAL010C, YMR203W, 0.24, 0.24, 0.00, true
YMR203W, YAL010C, 0.24, 0.24, 0.00, true
YAL010C, YOL009C, 0.23, 0.40, 0.00, true
YOL009C, YAL010C, 0.23, 0.40, 0.00, true
YAL011W, YBL003C, 0.14, 0.11, 0.00, true
YBL003C, YAL011W, 0.14, 0.11, 0.00, true
YAL011W, YBR175W, 0.16, 0.20, 0.00, true
YBR175W, YAL011W, 0.16, 0.20, 0.00, true
YAL011W, YBR231C, 0.21, 0.12, 0.00, true
YBR231C, YAL011W, 0.21, 0.12, 0.00, true
YAL011W, YDL074C, 0.31, 0.17, 0.00, true
YDL074C, YAL011W, 0.31, 0.17, 0.00, true
YAL011W, YDR190C, 0.18, -0.20, 0.00, true
YDR190C, YAL011W, 0.18, -0.20, 0.00, true
YAL011W, YDR334W, 0.40, 0.02, 0.00, true
YDR334W, YAL011W, 0.40, 0.02, 0.00, true
YAL011W, YDR392W, 0.24, -0.18, 0.00, true
YDR392W, YAL011W, 0.24, -0.18, 0.00, true
YAL011W, YDR485C, 0.36, 0.45, 0.00, true
YDR485C, YAL011W, 0.36, 0.45, 0.00, true
YAL011W, YEL003W, 0.16, 0.03, 0.00, true
