@RELATION PPI

@ATTRIBUTE Protein1 STRING
@ATTRIBUTE Protein2 STRING
@ATTRIBUTE ProteinExpressionSim NUMERIC
@ATTRIBUTE GeneExpressionSim NUMERIC
@ATTRIBUTE DIPSim NUMERIC
@ATTRIBUTE PositiveData {true,false}

@DATA
YNL288W, YGR134W, 0.43, 0.23, 0.45, true
YGR134W, YNR052C, 0.29, 0.09, 0.23, true
YNR052C, YGR134W, 0.29, 0.09, 0.23, true
YGR134W, YPL216W, 0.45, 0.40, 0.00, true
YPL216W, YGR134W, 0.45, 0.40, 0.00, true
YGR134W, YPL268W, 0.56, 0.34, 0.00, true
YPL268W, YGR134W, 0.56, 0.34, 0.00, true
YGR134W, YPR072W, 0.45, 0.50, 0.37, true
YPR072W, YGR134W, 0.45, 0.50, 0.37, true
YGR135W, YGR253C, 0.15, 0.86, 0.13, true
YGR253C, YGR135W, 0.15, 0.86, 0.13, true
YGR135W, YHR200W, 0.21, 0.67, 0.11, true
YHR200W, YGR135W, 0.21, 0.67, 0.11, true
YGR135W, YIL105C, 0.19, -0.14, 0.00, true
YIL105C, YGR135W, 0.19, -0.14, 0.00, true
YGR135W, YJL001W, 0.39, 0.78, 0.10, true
YJL001W, YGR135W, 0.39, 0.78, 0.10, true
YGR135W, YJR143C, 0.39, 0.10, 0.00, true
YJR143C, YGR135W, 0.39, 0.10, 0.00, true
YGR135W, YKR070W, 0.22, 0.21, 0.00, true
YKR070W, YGR135W, 0.22, 0.21, 0.00, true
YGR135W, YKR095W, 0.17, -0.13, 0.00, true
YKR095W, YGR135W, 0.17, -0.13, 0.00, true
YGR135W, YML092C, 0.32, 0.57, 0.13, true
YML092C, YGR135W, 0.32, 0.57, 0.13, true
YGR135W, YMR314W, 0.27, 0.82, 0.43, true
YMR314W, YGR135W, 0.27, 0.82, 0.43, true
YGR135W, YNL244C, 0.05, -0.11, 0.00, true
YNL244C, YGR135W, 0.05, -0.11, 0.00, true
YGR135W, YOL038W, 0.20, 0.82, 0.53, true
YOL038W, YGR135W, 0.20, 0.82, 0.53, true
YGR135W, YOR157C, 0.17, 0.82, 0.11, true
YOR157C, YGR135W, 0.17, 0.82, 0.11, true
YGR135W, YOR261C, 0.19, 0.52, 0.05, true
YOR261C, YGR135W, 0.19, 0.52, 0.05, true
YGR135W, YOR362C, 0.17, 0.58, 0.21, true
YOR362C, YGR135W, 0.17, 0.58, 0.21, true
YGR135W, YPR103W, 0.20, 0.73, 0.32, true
YPR103W, YGR135W, 0.20, 0.73, 0.32, true
YGR136W, YOR181W, 0.38, 0.44, 0.01, true
YOR181W, YGR136W, 0.38, 0.44, 0.01, true
YGR140W, YGR179C, 0.42, 0.51, 0.06, true
YGR179C, YGR140W, 0.42, 0.51, 0.06, true
YGR140W, YJR060W, 0.18, 0.08, 0.05, true
YJR060W, YGR140W, 0.18, 0.08, 0.05, true
YGR140W, YJR089W, 0.43, 0.24, 0.00, true
YJR089W, YGR140W, 0.43, 0.24, 0.00, true
YGR140W, YMR094W, 0.39, 0.39, 0.05, true
YMR094W, YGR140W, 0.39, 0.39, 0.05, true
YGR140W, YNL307C, 0.31, -0.06, 0.00, true
YNL307C, YGR140W, 0.31, -0.06, 0.00, true
YGR140W, YPL018W, 0.37, 0.22, 0.05, true
YPL018W, YGR140W, 0.37, 0.22, 0.05, true
YGR140W, YPL268W, 0.51, 0.39, 0.00, true
YPL268W, YGR140W, 0.51, 0.39, 0.00, true
YGR143W, YPR159W, 0.51, 0.01, 0.00, true
YPR159W, YGR143W, 0.51, 0.01, 0.00, true
YGR145W, YNL132W, 0.22, 0.82, 0.18, true
YNL132W, YGR145W, 0.22, 0.82, 0.18, true
YGR145W, YNR054C, 0.17, 0.79, 0.08, true
YNR054C, YGR145W, 0.17, 0.79, 0.08, true
YGR145W, YPR144C, 0.25, 0.76, 0.29, true
YPR144C, YGR145W, 0.25, 0.76, 0.29, true
YGR152C, YLR229C, 0.28, -0.05, 0.17, true
YLR229C, YGR152C, 0.28, -0.05, 0.17, true
YGR152C, YPL161C, 0.14, 0.11, 0.02, true
YPL161C, YGR152C, 0.14, 0.11, 0.02, true
YGR155W, YHR007C, 0.36, 0.22, 0.00, true
YHR007C, YGR155W, 0.36, 0.22, 0.00, true
YGR155W, YIL109C, 0.34, 0.35, 0.00, true
YIL109C, YGR155W, 0.34, 0.35, 0.00, true
YGR155W, YIL126W, 0.37, -0.17, 0.00, true
YIL126W, YGR155W, 0.37, -0.17, 0.00, true
YGR155W, YJR045C, 0.36, 0.21, 0.00, true
YJR045C, YGR155W, 0.36, 0.21, 0.00, true
YGR155W, YML076C, 0.22, 0.09, 0.00, true
YML076C, YGR155W, 0.22, 0.09, 0.00, true
YGR155W, YML085C, 0.20, -0.31, 0.00, true
YML085C, YGR155W, 0.20, -0.31, 0.00, true
YGR155W, YOR151C, 0.37, -0.02, 0.00, true
YOR151C, YGR155W, 0.37, -0.02, 0.00, true
YGR155W, YPL061W, 0.25, 0.33, 0.00, true
YPL061W, YGR155W, 0.25, 0.33, 0.00, true
YGR155W, YPR080W, 0.31, 0.45, 0.00, true
YPR080W, YGR155W, 0.31, 0.45, 0.00, true
YGR156W, YJR093C, 0.32, 0.11, 0.45, true
YJR093C, YGR156W, 0.32, 0.11, 0.45, true
YGR156W, YKL018W, 0.34, -0.45, 0.45, true
YKL018W, YGR156W, 0.34, -0.45, 0.45, true
YGR156W, YKL059C, 0.24, -0.21, 0.49, true
YKL059C, YGR156W, 0.24, -0.21, 0.49, true
YGR156W, YKR002W, 0.31, 0.78, 0.51, true
YKR002W, YGR156W, 0.31, 0.78, 0.51, true
YGR156W, YLR115W, 0.28, 0.55, 0.51, true
YLR115W, YGR156W, 0.28, 0.55, 0.51, true
YGR156W, YLR277C, 0.36, -0.41, 0.60, true
YLR277C, YGR156W, 0.36, -0.41, 0.60, true
YGR156W, YMR061W, 0.36, 0.16, 0.46, true
YMR061W, YGR156W, 0.36, 0.16, 0.46, true
YGR156W, YNL222W, 0.16, 0.21, 0.42, true
YNL222W, YGR156W, 0.16, 0.21, 0.42, true
YGR156W, YNL317W, 0.33, 0.07, 0.53, true
YNL317W, YGR156W, 0.33, 0.07, 0.53, true
YGR156W, YOR179C, 0.12, 0.11, 0.13, true
YOR179C, YGR156W, 0.12, 0.11, 0.13, true
YGR156W, YPR107C, 0.18, 0.15, 0.53, true
YPR107C, YGR156W, 0.18, 0.15, 0.53, true
YGR158C, YGR195W, 0.21, 0.32, 0.27, true
YGR195W, YGR158C, 0.21, 0.32, 0.27, true
YGR158C, YHR069C, 0.28, 0.12, 0.42, true
YHR069C, YGR158C, 0.28, 0.12, 0.42, true
YGR158C, YHR081W, 0.08, -0.15, 0.14, true
YHR081W, YGR158C, 0.08, -0.15, 0.14, true
YGR158C, YJR022W, 0.15, 0.14, 0.03, true
YJR022W, YGR158C, 0.15, 0.14, 0.03, true
YGR158C, YLR345W, 0.22, -0.24, 0.00, true
YLR345W, YGR158C, 0.22, -0.24, 0.00, true
YGR158C, YNL232W, 0.27, 0.25, 0.33, true
YNL232W, YGR158C, 0.27, 0.25, 0.33, true
YGR158C, YOL021C, 0.31, 0.01, 0.26, true
YOL021C, YGR158C, 0.31, 0.01, 0.26, true
YGR158C, YOL142W, 0.14, -0.09, 0.36, true
YOL142W, YGR158C, 0.14, -0.09, 0.36, true
YGR158C, YOR001W, 0.17, -0.06, 0.37, true
YOR001W, YGR158C, 0.17, -0.06, 0.37, true
YGR158C, YOR076C, 0.24, 0.34, 0.38, true
YOR076C, YGR158C, 0.24, 0.34, 0.38, true
YGR161C, YJL098W, 0.19, 0.11, 0.00, true
YJL098W, YGR161C, 0.19, 0.11, 0.00, true
YGR161C, YKR027W, 0.21, -0.00, 0.00, true
YKR027W, YGR161C, 0.21, -0.00, 0.00, true
YGR162W, YGR285C, 0.26, 0.51, 0.01, true
YGR285C, YGR162W, 0.26, 0.51, 0.01, true
YGR162W, YHL034C, 0.24, 0.03, 0.02, true
YHL034C, YGR162W, 0.24, 0.03, 0.02, true
YGR162W, YHR064C, 0.28, 0.68, 0.03, true
YHR064C, YGR162W, 0.28, 0.68, 0.03, true
YGR162W, YIL061C, 0.29, -0.22, 0.01, true
YIL061C, YGR162W, 0.29, -0.22, 0.01, true
YGR162W, YIR001C, 0.26, 0.11, 0.03, true
YIR001C, YGR162W, 0.26, 0.11, 0.03, true
YGR162W, YJL138C, 0.22, 0.66, 0.05, true
YJL138C, YGR162W, 0.22, 0.66, 0.05, true
YGR162W, YKL204W, 0.32, 0.18, 0.02, true
YKL204W, YGR162W, 0.32, 0.18, 0.02, true
YGR162W, YKR059W, 0.22, 0.66, 0.00, true
YKR059W, YGR162W, 0.22, 0.66, 0.00, true
YGR162W, YLR175W, 0.19, 0.69, 0.01, true
YLR175W, YGR162W, 0.19, 0.69, 0.01, true
YGR162W, YMR125W, 0.34, -0.26, 0.09, true
YMR125W, YGR162W, 0.34, -0.26, 0.09, true
YGR162W, YNL005C, 0.27, 0.05, 0.01, true
YNL005C, YGR162W, 0.27, 0.05, 0.01, true
YGR162W, YNL244C, 0.09, 0.20, 0.00, true
YNL244C, YGR162W, 0.09, 0.20, 0.00, true
YGR162W, YNL262W, 0.43, -0.04, 0.05, true
YNL262W, YGR162W, 0.43, -0.04, 0.05, true
YGR162W, YOL139C, 0.13, 0.26, 0.26, true
YOL139C, YGR162W, 0.13, 0.26, 0.26, true
YGR162W, YOR243C, 0.34, 0.43, 0.02, true
YOR243C, YGR162W, 0.34, 0.43, 0.02, true
YGR162W, YOR276W, 0.13, 0.64, 0.02, true
YOR276W, YGR162W, 0.13, 0.64, 0.02, true
YGR162W, YPR041W, 0.14, 0.44, 0.00, true
YPR041W, YGR162W, 0.14, 0.44, 0.00, true
YGR163W, YKR007W, 0.09, 0.37, 0.06, true
YKR007W, YGR163W, 0.09, 0.37, 0.06, true
YGR163W, YML121W, 0.16, -0.12, 0.04, true
YML121W, YGR163W, 0.16, -0.12, 0.04, true
YGR165W, YIL093C, 0.24, 0.49, 0.00, true
YIL093C, YGR165W, 0.24, 0.49, 0.00, true
YGR165W, YJR113C, 0.19, -0.17, 0.00, true
YJR113C, YGR165W, 0.19, -0.17, 0.00, true
YGR165W, YMR158W, 0.29, 0.58, 0.00, true
YMR158W, YGR165W, 0.29, 0.58, 0.00, true
YGR165W, YNL137C, 0.13, 0.64, 0.00, true
YNL137C, YGR165W, 0.13, 0.64, 0.00, true
YGR165W, YOR158W, 0.26, 0.59, 0.00, true
YOR158W, YGR165W, 0.26, 0.59, 0.00, true
YGR165W, YPL118W, 0.24, 0.69, 0.00, true
YPL118W, YGR165W, 0.24, 0.69, 0.00, true
YGR166W, YGR229C, 0.22, -0.27, 0.00, true
YGR229C, YGR166W, 0.22, -0.27, 0.00, true
YGR166W, YJL174W, 0.29, 0.34, 0.00, true
YJL174W, YGR166W, 0.29, 0.34, 0.00, true
YGR166W, YKR068C, 0.21, 0.12, 0.06, true
YKR068C, YGR166W, 0.21, 0.12, 0.06, true
YGR166W, YML077W, 0.22, 0.02, 0.33, true
YML077W, YGR166W, 0.22, 0.02, 0.33, true
YGR166W, YMR218C, 0.37, 0.20, 0.38, true
YMR218C, YGR166W, 0.37, 0.20, 0.38, true
YGR166W, YMR307W, 0.26, 0.44, 0.00, true
YMR307W, YGR166W, 0.26, 0.44, 0.00, true
YGR166W, YOR115C, 0.28, -0.23, 0.38, true
YOR115C, YGR166W, 0.28, -0.23, 0.38, true
YGR167W, YHR161C, 0.05, 0.63, 0.07, true
YHR161C, YGR167W, 0.05, 0.63, 0.07, true
YGR167W, YNL243W, 0.23, 0.26, 0.00, true
YNL243W, YGR167W, 0.23, 0.26, 0.00, true
YGR170W, YNL264C, 0.30, -0.31, 0.00, true
YNL264C, YGR170W, 0.30, -0.31, 0.00, true
YGR172C, YLR262C, 0.16, -0.11, 0.04, true
YLR262C, YGR172C, 0.16, -0.11, 0.04, true
YGR172C, YLR452C, 0.33, -0.18, 0.00, true
YLR452C, YGR172C, 0.33, -0.18, 0.00, true
YGR172C, YNL263C, 0.39, 0.39, 0.11, true
YNL263C, YGR172C, 0.39, 0.39, 0.11, true
YGR172C, YOR089C, 0.21, -0.09, 0.04, true
YOR089C, YGR172C, 0.21, -0.09, 0.04, true
YGR172C, YPR028W, 0.40, 0.30, 0.02, true
YPR028W, YGR172C, 0.40, 0.30, 0.02, true
YGR173W, YOL061W, 0.28, 0.18, 0.00, true
YOL061W, YGR173W, 0.28, 0.18, 0.00, true
YGR173W, YPL235W, 0.37, 0.08, 0.00, true
YPL235W, YGR173W, 0.37, 0.08, 0.00, true
YGR178C, YHR121W, 0.23, -0.12, 0.00, true
YHR121W, YGR178C, 0.23, -0.12, 0.00, true
YGR179C, YIR010W, 0.30, 0.55, 0.00, true
YIR010W, YGR179C, 0.30, 0.55, 0.00, true
YGR179C, YJR135C, 0.23, 0.13, 0.00, true
YJR135C, YGR179C, 0.23, 0.13, 0.00, true
YGR179C, YKL049C, 0.33, 0.71, 0.17, true
YKL049C, YGR179C, 0.33, 0.71, 0.17, true
YGR179C, YLR315W, 0.15, 0.55, 0.00, true
YLR315W, YGR179C, 0.15, 0.55, 0.00, true
YGR179C, YLR381W, 0.30, 0.05, 0.00, true
YLR381W, YGR179C, 0.30, 0.05, 0.00, true
YGR179C, YMR168C, 0.26, 0.01, 0.06, true
YMR168C, YGR179C, 0.26, 0.01, 0.06, true
YGR179C, YOL054W, 0.13, 0.05, 0.00, true
YOL054W, YGR179C, 0.13, 0.05, 0.00, true
YGR179C, YPL018W, 0.18, 0.31, 0.28, true
YPL018W, YGR179C, 0.18, 0.31, 0.28, true
YGR179C, YPR046W, 0.25, 0.53, 0.00, true
YPR046W, YGR179C, 0.25, 0.53, 0.00, true
YGR180C, YJL026W, 0.24, 0.69, 0.04, true
YJL026W, YGR180C, 0.24, 0.69, 0.04, true
YGR180C, YJL115W, 0.08, -0.16, 0.06, true
YJL115W, YGR180C, 0.08, -0.16, 0.06, true
YGR180C, YLR347C, 0.25, 0.04, 0.00, true
YLR347C, YGR180C, 0.25, 0.04, 0.00, true
YGR180C, YNL189W, 0.20, -0.20, 0.00, true
YNL189W, YGR180C, 0.20, -0.20, 0.00, true
YGR180C, YOR230W, 0.24, 0.23, 0.00, true
YOR230W, YGR180C, 0.24, 0.23, 0.00, true
YGR180C, YPL191C, 0.24, -0.09, 0.00, true
YPL191C, YGR180C, 0.24, -0.09, 0.00, true
YGR181W, YJR135W-A, 0.26, 0.20, 0.20, true
YJR135W-A, YGR181W, 0.26, 0.20, 0.20, true
YGR181W, YNR017W, 0.16, 0.15, 0.07, true
YNR017W, YGR181W, 0.16, 0.15, 0.07, true
YGR184C, YIL075C, 0.56, 0.12, 0.00, true
YIL075C, YGR184C, 0.56, 0.12, 0.00, true
YGR184C, YKL145W, 0.29, -0.08, 0.01, true
YKL145W, YGR184C, 0.29, -0.08, 0.01, true
YGR184C, YPL177C, 0.29, 0.26, 0.00, true
YPL177C, YGR184C, 0.29, 0.26, 0.00, true
YGR184C, YPR135W, 0.52, 0.28, 0.00, true
YPR135W, YGR184C, 0.52, 0.28, 0.00, true
YGR185C, YGR229C, 0.23, 0.74, 0.00, true
YGR229C, YGR185C, 0.23, 0.74, 0.00, true
YGR185C, YLL029W, 0.24, 0.53, 0.00, true
YLL029W, YGR185C, 0.24, 0.53, 0.00, true
YGR185C, YMR158W, 0.18, -0.33, 0.00, true
YMR158W, YGR185C, 0.18, -0.33, 0.00, true
YGR185C, YNL247W, 0.25, -0.09, 0.00, true
YNL247W, YGR185C, 0.25, -0.09, 0.00, true
YGR185C, YNL306W, 0.05, -0.51, 0.00, true
YNL306W, YGR185C, 0.05, -0.51, 0.00, true
YGR185C, YNR043W, 0.21, -0.39, 0.00, true
YNR043W, YGR185C, 0.21, -0.39, 0.00, true
YGR186W, YIL021W, 0.20, 0.12, 0.14, true
YIL021W, YGR186W, 0.20, 0.12, 0.14, true
YGR186W, YJL140W, 0.28, -0.02, 0.22, true
YJL140W, YGR186W, 0.28, -0.02, 0.22, true
YGR186W, YML010W, 0.32, 0.44, 0.11, true
YML010W, YGR186W, 0.32, 0.44, 0.11, true
YGR186W, YMR277W, 0.32, 0.31, 0.00, true
YMR277W, YGR186W, 0.32, 0.31, 0.00, true
YGR186W, YOL005C, 0.09, -0.12, 0.20, true
YOL005C, YGR186W, 0.09, -0.12, 0.20, true
YGR186W, YOR151C, 0.37, 0.07, 0.16, true
YOR151C, YGR186W, 0.37, 0.07, 0.16, true
YGR186W, YPL129W, 0.20, 0.25, 0.03, true
YPL129W, YGR186W, 0.20, 0.25, 0.03, true
YGR186W, YPR187W, 0.14, -0.06, 0.03, true
YPR187W, YGR186W, 0.14, -0.06, 0.03, true
YGR188C, YMR048W, 0.28, 0.67, 0.00, true
YMR048W, YGR188C, 0.28, 0.67, 0.00, true
YGR188C, YMR078C, 0.42, 0.52, 0.00, true
YMR078C, YGR188C, 0.42, 0.52, 0.00, true
YGR188C, YMR304W, 0.45, -0.06, 0.00, true
YMR304W, YGR188C, 0.45, -0.06, 0.00, true
YGR188C, YOR026W, 0.30, 0.62, 0.00, true
YOR026W, YGR188C, 0.30, 0.62, 0.00, true
YGR188C, YOR326W, 0.44, 0.40, 0.00, true
YOR326W, YGR188C, 0.44, 0.40, 0.00, true
YGR188C, YPL008W, 0.42, 0.17, 0.00, true
YPL008W, YGR188C, 0.42, 0.17, 0.00, true
YGR188C, YPL018W, 0.34, 0.26, 0.00, true
YPL018W, YGR188C, 0.34, 0.26, 0.00, true
YGR188C, YPR135W, 0.50, 0.24, 0.00, true
YPR135W, YGR188C, 0.50, 0.24, 0.00, true
YGR191W, YPL218W, 0.31, 0.20, 0.00, true
YPL218W, YGR191W, 0.31, 0.20, 0.00, true
YGR192C, YKL039W, 0.24, 0.34, 0.00, true
YKL039W, YGR192C, 0.24, 0.34, 0.00, true
YGR194C, YNL265C, 0.12, 0.62, 0.00, true
YNL265C, YGR194C, 0.12, 0.62, 0.00, true
YGR195W, YHR069C, 0.27, 0.55, 0.49, true
YHR069C, YGR195W, 0.27, 0.55, 0.49, true
YGR195W, YHR081W, 0.13, -0.09, 0.30, true
YHR081W, YGR195W, 0.13, -0.09, 0.30, true
YGR195W, YNL232W, 0.23, 0.57, 0.64, true
YNL232W, YGR195W, 0.23, 0.57, 0.64, true
YGR195W, YOL021C, 0.31, 0.02, 0.60, true
YOL021C, YGR195W, 0.31, 0.02, 0.60, true
YGR195W, YOL142W, 0.11, -0.03, 0.18, true
YOL142W, YGR195W, 0.11, -0.03, 0.18, true
YGR195W, YOR001W, 0.22, 0.12, 0.37, true
YOR001W, YGR195W, 0.22, 0.12, 0.37, true
YGR195W, YOR076C, 0.20, -0.13, 0.23, true
YOR076C, YGR195W, 0.20, -0.13, 0.23, true
YGR198W, YLR222C, 0.41, 0.09, 0.00, true
YLR222C, YGR198W, 0.41, 0.09, 0.00, true
YGR198W, YLR380W, 0.40, 0.19, 0.00, true
YLR380W, YGR198W, 0.40, 0.19, 0.00, true
YGR200C, YHR187W, 0.25, 0.20, 0.55, true
YHR187W, YGR200C, 0.25, 0.20, 0.55, true
YGR200C, YIL096C, 0.18, 0.44, 0.00, true
YIL096C, YGR200C, 0.18, 0.44, 0.00, true
YGR200C, YJL140W, 0.11, 0.12, 0.03, true
YJL140W, YGR200C, 0.11, 0.12, 0.03, true
YGR200C, YKL110C, 0.20, 0.33, 0.21, true
YKL110C, YGR200C, 0.20, 0.33, 0.21, true
YGR200C, YLR384C, 0.43, 0.15, 0.29, true
YLR384C, YGR200C, 0.43, 0.15, 0.29, true
YGR200C, YMR312W, 0.29, 0.02, 0.45, true
YMR312W, YGR200C, 0.29, 0.02, 0.45, true
YGR200C, YPL086C, 0.31, 0.57, 0.60, true
YPL086C, YGR200C, 0.31, 0.57, 0.60, true
YGR200C, YPL101W, 0.30, 0.11, 0.49, true
YPL101W, YGR200C, 0.30, 0.11, 0.49, true
YGR202C, YMR079W, 0.28, -0.05, 0.00, true
YMR079W, YGR202C, 0.28, -0.05, 0.00, true
YGR202C, YNL189W, 0.20, -0.02, 0.00, true
YNL189W, YGR202C, 0.20, -0.02, 0.00, true
YGR206W, YLR119W, 0.20, 0.23, 0.00, true
YLR119W, YGR206W, 0.20, 0.23, 0.00, true
YGR207C, YIL108W, 0.29, 0.26, 0.00, true
YIL108W, YGR207C, 0.29, 0.26, 0.00, true
YGR207C, YLR265C, 0.23, -0.54, 0.00, true
YLR265C, YGR207C, 0.23, -0.54, 0.00, true
YGR207C, YNR058W, 0.20, -0.30, 0.00, true
YNR058W, YGR207C, 0.20, -0.30, 0.00, true
YGR207C, YOR018W, 0.18, 0.57, 0.00, true
YOR018W, YGR207C, 0.18, 0.57, 0.00, true
YGR207C, YPL217C, 0.31, -0.05, 0.00, true
YPL217C, YGR207C, 0.31, -0.05, 0.00, true
YGR209C, YIL107C, 0.18, 0.07, 0.00, true
YIL107C, YGR209C, 0.18, 0.07, 0.00, true
YGR209C, YLR043C, 0.33, 0.39, 0.27, true
YLR043C, YGR209C, 0.33, 0.39, 0.27, true
YGR213C, YHR134W, 0.20, 0.12, 0.00, true
YHR134W, YGR213C, 0.20, 0.12, 0.00, true
YGR215W, YHL004W, 0.11, 0.54, 0.02, true
YHL004W, YGR215W, 0.11, 0.54, 0.02, true
YGR215W, YIL093C, 0.16, 0.63, 0.38, true
YIL093C, YGR215W, 0.16, 0.63, 0.38, true
YGR215W, YJR101W, 0.10, 0.62, 0.53, true
YJR101W, YGR215W, 0.10, 0.62, 0.53, true
YGR215W, YKL003C, 0.13, 0.71, 0.27, true
YKL003C, YGR215W, 0.13, 0.71, 0.27, true
YGR215W, YKL155C, 0.26, 0.53, 0.38, true
YKL155C, YGR215W, 0.26, 0.53, 0.38, true
YGR215W, YMR158W, -0.03, 0.61, 0.27, true
YMR158W, YGR215W, -0.03, 0.61, 0.27, true
YGR215W, YMR188C, 0.08, 0.22, 0.20, true
YMR188C, YGR215W, 0.08, 0.22, 0.20, true
YGR215W, YNL137C, 0.08, 0.55, 0.44, true
YNL137C, YGR215W, 0.08, 0.55, 0.44, true
YGR215W, YNL306W, 0.13, 0.30, 0.44, true
YNL306W, YGR215W, 0.13, 0.30, 0.44, true
YGR215W, YNR036C, 0.24, 0.51, 0.00, true
YNR036C, YGR215W, 0.24, 0.51, 0.00, true
YGR215W, YNR037C, 0.03, 0.65, 0.13, true
YNR037C, YGR215W, 0.03, 0.65, 0.13, true
YGR215W, YOR158W, 0.10, 0.58, 0.09, true
YOR158W, YGR215W, 0.10, 0.58, 0.09, true
YGR215W, YPL118W, 0.17, 0.68, 0.33, true
YPL118W, YGR215W, 0.17, 0.68, 0.33, true
YGR218W, YHR082C, 0.41, 0.34, 0.01, true
YHR082C, YGR218W, 0.41, 0.34, 0.01, true
YGR218W, YHR108W, 0.46, 0.19, 0.00, true
YHR108W, YGR218W, 0.46, 0.19, 0.00, true
YGR218W, YIL063C, 0.25, 0.05, 0.02, true
YIL063C, YGR218W, 0.25, 0.05, 0.02, true
YGR218W, YIL115C, 0.48, 0.34, 0.01, true
YIL115C, YGR218W, 0.48, 0.34, 0.01, true
YGR218W, YJR061W, 0.51, -0.12, 0.00, true
YJR061W, YGR218W, 0.51, -0.12, 0.00, true
YGR218W, YJR134C, 0.33, 0.19, 0.01, true
YJR134C, YGR218W, 0.33, 0.19, 0.01, true
YGR218W, YKL045W, 0.37, 0.03, 0.01, true
YKL045W, YGR218W, 0.37, 0.03, 0.01, true
YGR218W, YKL068W, 0.37, 0.09, 0.01, true
YKL068W, YGR218W, 0.37, 0.09, 0.01, true
YGR218W, YLL060C, 0.32, 0.24, 0.00, true
YLL060C, YGR218W, 0.32, 0.24, 0.00, true
YGR218W, YLR131C, 0.46, 0.10, 0.00, true
YLR131C, YGR218W, 0.46, 0.10, 0.00, true
YGR218W, YLR293C, 0.25, 0.14, 0.02, true
YLR293C, YGR218W, 0.25, 0.14, 0.02, true
YGR218W, YML007W, 0.35, -0.01, 0.01, true
YML007W, YGR218W, 0.35, -0.01, 0.01, true
YGR218W, YML117W, 0.44, -0.08, 0.00, true
YML117W, YGR218W, 0.44, -0.08, 0.00, true
YGR218W, YMR047C, 0.35, 0.06, 0.05, true
YMR047C, YGR218W, 0.35, 0.06, 0.05, true
YGR218W, YMR124W, 0.40, 0.01, 0.00, true
YMR124W, YGR218W, 0.40, 0.01, 0.00, true
YGR218W, YMR180C, 0.29, 0.03, 0.00, true
YMR180C, YGR218W, 0.29, 0.03, 0.00, true
YGR218W, YMR235C, 0.35, -0.04, 0.04, true
YMR235C, YGR218W, 0.35, -0.04, 0.04, true
YGR218W, YNL118C, 0.46, 0.38, 0.01, true
YNL118C, YGR218W, 0.46, 0.38, 0.01, true
YGR218W, YNL196C, 0.22, 0.04, 0.00, true
YNL196C, YGR218W, 0.22, 0.04, 0.00, true
YGR218W, YOR098C, 0.41, 0.21, 0.00, true
YOR098C, YGR218W, 0.41, 0.21, 0.00, true
YGR218W, YOR371C, 0.45, 0.24, 0.00, true
YOR371C, YGR218W, 0.45, 0.24, 0.00, true
YGR218W, YPL120W, 0.34, 0.08, 0.00, true
YPL120W, YGR218W, 0.34, 0.08, 0.00, true
YGR220C, YJL063C, 0.12, 0.74, 0.00, true
YJL063C, YGR220C, 0.12, 0.74, 0.00, true
YGR220C, YKL167C, 0.07, 0.66, 0.00, true
YKL167C, YGR220C, 0.07, 0.66, 0.00, true
YGR220C, YKR006C, 0.02, 0.69, 0.00, true
YKR006C, YGR220C, 0.02, 0.69, 0.00, true
YGR220C, YKR085C, 0.12, 0.51, 0.00, true
YKR085C, YGR220C, 0.12, 0.51, 0.00, true
YGR220C, YLR312W-A, 0.26, 0.41, 0.00, true
YLR312W-A, YGR220C, 0.26, 0.41, 0.00, true
YGR220C, YLR439W, 0.06, 0.34, 0.00, true
YLR439W, YGR220C, 0.06, 0.34, 0.00, true
YGR220C, YML009C, 0.17, 0.46, 0.00, true
YML009C, YGR220C, 0.17, 0.46, 0.00, true
YGR220C, YML025C, 0.29, 0.20, 0.00, true
YML025C, YGR220C, 0.29, 0.20, 0.00, true
YGR220C, YMR098C, 0.17, 0.02, 0.00, true
YMR098C, YGR220C, 0.17, 0.02, 0.00, true
YGR220C, YMR193W, 0.18, 0.11, 0.00, true
YMR193W, YGR220C, 0.18, 0.11, 0.00, true
YGR220C, YMR225C, 0.11, 0.12, 0.00, true
YMR225C, YGR220C, 0.11, 0.12, 0.00, true
YGR220C, YNL005C, 0.16, 0.70, 0.00, true
YNL005C, YGR220C, 0.16, 0.70, 0.00, true
YGR220C, YNL252C, 0.22, 0.75, 0.00, true
YNL252C, YGR220C, 0.22, 0.75, 0.00, true
YGR220C, YNL284C, 0.23, 0.18, 0.43, true
YNL284C, YGR220C, 0.23, 0.18, 0.43, true
YGR220C, YPL183W-A, 0.26, 0.20, 0.00, true
YPL183W-A, YGR220C, 0.26, 0.20, 0.00, true
YGR222W, YNR045W, 0.21, 0.06, 0.00, true
YNR045W, YGR222W, 0.21, 0.06, 0.00, true
YGR225W, YKL022C, 0.29, 0.69, 0.00, true
YKL022C, YGR225W, 0.29, 0.69, 0.00, true
YGR229C, YHR030C, 0.29, -0.50, 0.00, true
YHR030C, YGR229C, 0.29, -0.50, 0.00, true
YGR229C, YHR129C, 0.23, 0.29, 0.00, true
YHR129C, YGR229C, 0.23, 0.29, 0.00, true
YGR229C, YHR142W, 0.21, 0.38, 0.00, true
YHR142W, YGR229C, 0.21, 0.38, 0.00, true
YGR229C, YHR191C, 0.06, 0.01, 0.00, true
YHR191C, YGR229C, 0.06, 0.01, 0.00, true
